"지역별(1)",2019. 10,2019. 10,2019. 10
"지역별(1)",평균,용도지역_주거지역,용도지역_상업지역
"전국",0.336,0.386,0.377
"서울특별시",0.483,0.479,0.510
"부산광역시",0.295,0.361,0.343
"대구광역시",0.354,0.440,0.349
"인천광역시",0.341,0.395,0.265
"광주광역시",0.355,0.383,0.317
"대전광역시",0.466,0.506,0.418
"울산광역시",-0.101,-0.105,-0.048
"세종특별자치시",0.346,0.152,0.186
"제주특별자치도",-0.417,-0.372,-0.387
